smsv,build,notbuild
0101,147,0
0102,212,0
0103,182,0
0104,128,37
0201,154,0
0202,124,0
0203,250,0
0204,149,0
0205,134,0
0206,161,0
0207,311,34
0208,233,37
0301,221,12
0302,238,13
0303,196,16
0304,187,0
0401,151,0
0402,147,31
0403,217,16
0404,164,0
0405,178,0
0501,158,32
0502,102,0
0503,144,29
0504,110,0
0601,156,42
0602,156,3
0603,158,36
0604,123,0
0605,143,0
0606,226,0
0701,225,0
0702,99,0
0703,126,19
0704,125,0
0705,98,0
0706,87,11
0707,165,0
0708,102,0
0801,143,0
0802,150,0
0803,149,0
0804,160,0
0805,115,0
0806,143,0
0807,134,0
0901,199,29
0902,143,0
0903,157,0
0904,129,0
0905,155,0
1001,155,0
1002,108,23
1003,106,0
1004,101,0
1005,87,0
1006,95,0
1101,93,0
1102,75,0
1103,103,30
1104,47,0
1201,93,25
1202,114,0
1203,156,2
1204,214,30
1205,190,4
1206,108,31
1301,101,5
1302,135,18
1303,169,0
1304,130,8
1305,146,5
1401,191,0
1402,116,0
1403,144,0
1404,99,15
1501,101,5
1502,105,28
1503,145,0
1504,119,5
1601,166,41
1602,185,0
1603,163,0
1701,154,0
1702,124,0
1703,178,0
1704,87,0
1705,109,0
1706,80,0
1801,81,0
1802,105,21
1803,87,13
1804,122,0
1805,141,41
1806,182,0
1807,136,0
1808,294,47
1809,103,5
1810,173,0
1811,113,0
1901,132,3
1902,162,4
1903,123,0
1904,115,0
2001,140,0
2002,89,33
2003,69,0
2004,110,26
2005,87,18
2006,74,2
2007,116,0
2101,106,0
2102,139,0
2103,158,0
2104,73,22
2105,121,41
2106,118,11
2201,120,0
2202,96,5
2203,127,0
2204,105,48
2205,99,73
2301,167,0
2302,94,54
2303,90,73
2401,115,0
2402,79,0
2403,120,65
2404,121,17
2405,111,31
2406,192,0
2407,184,39
